Count,Site_Visit_ID,Project_Name,Entity_Type,Planned_Field_Work_or_Quarter,MA_Activity,Province_Name_[Auto-Filled],District_Name_[Auto-Filled],Province_verification_based_on_district,Entity.Type,Date.of.Sampling.Confirmation,Planned.Field.Work.Period.(Category).-.Duplicate,Date.of.SV.Infrastructure.Monitoring,Status.of.SV.Infrastructure.Monitoring,Date.of.SV.Soft.Component.Monitoring,Status.of.SV.Soft.Component.Monitoring,Status.of.Physical.and.Social.SV,Type.of.reporting
1242,KNCPM45158PM22,KNC,Government Agency,9/10/2023,Site Visit,Kunduz,Imam Sahib,Kunduz,Tower,8/20/2023,8/22/2023,,Completed,,Not applicable,Completed,Ad Hoc
1249,KNCPM45159PM23,KNC,Government Agency,8/21/2024,Site Visit,Kunduz,Imam Sahib,Kunduz,Tower,8/21/2023,8/23/2023,,Completed,,Not applicable,Completed,Ad Hoc
1565,KNCPM45160PM24,KNC,Government Agency,8/21/2024,Site Visit,Nangarhar,Behsud,Nangarhar,Tower,8/22/2023,8/24/2023,,Completed,,Not applicable,Completed,Ad Hoc
1337,KNCPM45161PM25,KNC,Government Agency,8/21/2024,Site Visit,Kunduz,Khan Abad,Kunduz,Tower,8/23/2023,8/25/2023,,Completed,,Not applicable,Completed,Ad Hoc
1385,KNCPM45162PM26,KNC,Government Agency,8/21/2024,Site Visit,Baghlan,Burka,Baghlan,Tower,8/24/2023,8/26/2023,,Completed,,Not applicable,Completed,Ad Hoc
1513,KNCPM45163PM27,KNC,Government Agency,8/21/2024,Site Visit,Kapisa,Tagab,Kapisa,Tower,8/25/2023,8/27/2023,,Completed,,Not applicable,Completed,Ad Hoc
1445,KNCPM45164PM28,KNC,Government Agency,8/21/2024,Site Visit,Baghlan,Pul-e-Hisar,Baghlan,Tower,8/26/2023,8/28/2023,,Completed,,Not applicable,Completed,Ad Hoc
1271,KNCPM45165PM29,KNC,Government Agency,8/21/2024,Site Visit,Kunduz,Imam Sahib,Kunduz,Tower,8/27/2023,8/29/2023,,Completed,,Not applicable,Completed,Ad Hoc
1379,KNCPM45166PM30,KNC,Government Agency,8/21/2024,Site Visit,Baghlan,Burka,Baghlan,Tower,8/28/2023,8/30/2023,,Completed,,Not applicable,Completed,Ad Hoc
1546,KNCPM45167PM31,KNC,Government Agency,8/21/2024,Site Visit,Laghman,Mehtarlam,Laghman,Tower,8/29/2023,8/31/2023,,Completed,,Not applicable,Completed,Ad Hoc
1314,KNCPM45168PM32,KNC,Government Agency,8/21/2024,Site Visit,Kunduz,Khan Abad,Kunduz,Tower,8/30/2023,9/1/2023,,Completed,,Not applicable,Completed,Ad Hoc
1521,KNCPM45169PM33,KNC,Government Agency,8/21/2024,Site Visit,Kapisa,Tagab,Kapisa,Tower,8/31/2023,9/2/2023,,Completed,,Not applicable,Completed,Ad Hoc
1477,KNCPM45170PM34,KNC,Government Agency,8/21/2024,Site Visit,Kapisa,Koh Band,Kapisa,Tower,9/1/2023,9/3/2023,,Completed,,Not applicable,Completed,Ad Hoc
1617,KNCPM45171PM35,KNC,Government Agency,8/21/2024,Site Visit,Nangarhar,Lalpur,Nangarhar,Tower,9/2/2023,9/4/2023,,Completed,,Not applicable,Completed,Ad Hoc
1615,KNCPM45172PM36,KNC,Government Agency,8/21/2024,Site Visit,Nangarhar,Lalpur,Nangarhar,Tower,9/3/2023,9/5/2023,,Completed,,Not applicable,Completed,Ad Hoc
1327,KNCPM45173PM37,KNC,Government Agency,8/21/2024,Site Visit,Kunduz,Khan Abad,Kunduz,Tower,9/4/2023,9/6/2023,,Completed,,Not applicable,Completed,Ad Hoc
1606,KNCPM45174PM38,KNC,Government Agency,8/21/2024,Site Visit,Nangarhar,Goshta,Nangarhar,Tower,9/5/2023,9/7/2023,,Completed,,Not applicable,Completed,Ad Hoc
1538,KNCPM45175PM39,KNC,Government Agency,8/21/2024,Site Visit,Laghman,Mehtarlam,Laghman,Tower,9/6/2023,9/8/2023,,Completed,,Not applicable,Completed,Ad Hoc
1351,KNCPM45176PM40,KNC,Government Agency,8/21/2024,Site Visit,Kunduz,Ali Abad,Kunduz,Tower,9/7/2023,9/9/2023,,Completed,,Not applicable,Completed,Ad Hoc
5911,AIFDPM45177PM41,AIFD,Water Resource Management,9/8/2023,Site Visit,Badakhshan,Keshem,Badakhshan,CDC,9/8/2023,9/10/2023,,Not applicable,,Completed,Completed,Regular
360,AIFDPM45178PM42,AIFD,Water Resource Management,9/8/2023,Site Visit,Maidan Wardak,Hesa-e-Awal-e-Behsud,Maidan Wardak,CDC,9/9/2023,9/11/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
10982,AIFDPM45179PM43,AIFD,Water Resource Management,9/8/2023,Site Visit,Paktika,Urgun,Paktika,Sub Project,9/10/2023,9/12/2023,,Completed,,Completed,Completed,Regular
5876,AIFDPM45180PM44,AIFD,Water Resource Management,9/8/2023,Site Visit,Takhar,Namak Ab,Takhar,Sub-Project,9/11/2023,9/13/2023,,Completed,,Not applicable,Completed,Regular
293,AIFDPM45181PM45,AIFD,Water Resource Management,9/8/2023,Site Visit,Takhar,Baharak,Takhar,CDC,9/12/2023,9/14/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
3299,AIFDPM45182PM46,AIFD,Water Resource Management,9/8/2023,Site Visit,Nuristan,Duab,Nuristan,CDC,9/13/2023,9/15/2023,,Not applicable,10/24/2023,Completed,Completed,Regular
222,AIFDPM45183PM47,AIFD,Water Resource Management,9/8/2023,Site Visit,Nimroz,Khashrod,Nimroz,CDC,9/14/2023,9/16/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
5816,AIFDPM45184PM48,AIFD,Water Resource Management,9/8/2023,Site Visit,Badakhshan,Warduj,Badakhshan,Sub-Project,9/15/2023,9/17/2023,,Completed,,Not applicable,Completed,Regular
3077,AIFDPM45185PM49,AIFD,Water Resource Management,9/8/2023,Site Visit,Samangan,Aybak,Samangan,Sub-Project,9/16/2023,9/18/2023,,Completed,10/26/2023,Not applicable,Completed,Regular
3127,AIFDPM45186PM50,AIFD,Water Resource Management,9/8/2023,Site Visit,Kandahar,Panjwayi,Kandahar,Sub-Project,9/17/2023,9/19/2023,,Completed,11/6/2023,Not applicable,Completed,Regular
5765,AIFDPM45187PM51,AIFD,Water Resource Management,9/8/2023,Site Visit,Sar-e-Pul,Sar-e-Pul,Sar-e-Pul,Sub-Project,9/18/2023,9/20/2023,,Completed,,Not applicable,Completed,Regular
45,AIFDPM45188PM52,AIFD,Water Resource Management,9/8/2023,Site Visit,Badakhshan,Argo,Badakhshan,CDC,9/19/2023,9/21/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
267,AIFDPM45189PM53,AIFD,Water Resource Management,9/8/2023,Site Visit,Sar-e-Pul,Sar-e-Pul,Sar-e-Pul,CDC,9/20/2023,9/22/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
11123,AIFDPM45190PM54,AIFD,Water Resource Management,9/8/2023,Site Visit,Ghazni,Nawur,Ghazni,Sub Project,9/21/2023,9/23/2023,,Not applicable,,Completed,Completed,Regular
242,AIFDPM45191PM55,AIFD,Water Resource Management,9/8/2023,Site Visit,Parwan,Sayed Khel,Parwan,CDC,9/22/2023,9/24/2023,,Not applicable,3/26/2023,Completed,Completed,Ad Hoc
5949,AIFDPM45192PM56,AIFD,Water Resource Management,9/8/2023,Site Visit,Kandahar,Shah Wali Kot,Kandahar,CDC,9/23/2023,9/25/2023,,Not applicable,,Completed,Completed,Regular
3272,AIFDPM45193PM57,AIFD,Water Resource Management,9/8/2023,Site Visit,Laghman,Alishang,Laghman,CDC,9/24/2023,9/26/2023,,Not applicable,10/18/2023,Completed,Completed,Regular
10854,AIFDPM45194PM58,AIFD,Water Resource Management,9/8/2023,Site Visit,Kunar,Chawkay,Kunar,Sub Project,9/25/2023,9/27/2023,,Completed,,Completed,Completed,Regular
3188,AIFDPM45195PM59,AIFD,Water Resource Management,9/8/2023,Site Visit,Maidan Wardak,Hesa-e-Awal-e-Behsud,Maidan Wardak,CDC,9/26/2023,9/28/2023,,Not applicable,11/7/2023,Completed,Completed,Regular
11112,AIFDPM45196PM60,AIFD,Water Resource Management,9/8/2023,Site Visit,Ghazni,Nawur,Ghazni,Sub Project,9/27/2023,9/29/2023,,Not applicable,,Cancelled,Cancelled,Regular
6129,AIFDPM45197PM61,AIFD,Water Resource Management,9/8/2023,Site Visit,Nangarhar,Jalalabad,Nangarhar,CDC,9/28/2023,9/30/2023,,Not applicable,,Completed,Completed,Regular
5778,AIFDPM45198PM62,AIFD,Water Resource Management,9/8/2023,Site Visit,Takhar,Bangi,Takhar,Sub-Project,9/29/2023,10/1/2023,,Completed,,Not applicable,Completed,Regular
8,AIFDPM45199PM63,AIFD,Water Resource Management,9/8/2023,Site Visit,Kunduz,Kunduz,Kunduz,Sub-Project,9/30/2023,10/2/2023,3/6/2023,Completed,,Not applicable,Completed,Regular
337,AIFDPM45200PM64,AIFD,Water Resource Management,9/8/2023,Site Visit,Uruzgan,Chora,Uruzgan,CDC,10/1/2023,10/3/2023,,Not applicable,3/26/2023,Completed,Completed,Ad Hoc
6052,AIFDPM45201PM65,AIFD,Water Resource Management,9/8/2023,Site Visit,Paktika,Yosuf Khel,Paktika,CDC,10/2/2023,10/4/2023,,Not applicable,,Completed,Completed,Regular
88,AIFDPM45202PM66,AIFD,Water Resource Management,9/8/2023,Site Visit,Baghlan,Andarab,Baghlan,CDC,10/3/2023,10/5/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
5882,AIFDPM45203PM67,AIFD,Water Resource Management,9/8/2023,Site Visit,Nangarhar,Pachir Wa Agam,Nangarhar,Sub-Project,10/4/2023,10/6/2023,,Completed,,Not applicable,Completed,Regular
11154,AIFDPM45204PM68,AIFD,Water Resource Management,10/5/2023,Site Visit,Paktya,Gardez,Paktya,Sub Project,10/5/2023,10/7/2023,,Not applicable,,Completed,Completed,Regular
6004,AIFDPM45205PM69,AIFD,Water Resource Management,10/5/2023,Site Visit,Sar-e-Pul,Gosfandi,Sar-e-Pul,CDC,10/6/2023,10/8/2023,,Not applicable,,Completed,Completed,Regular
5958,AIFDPM45206PM70,AIFD,Water Resource Management,10/5/2023,Site Visit,Nimroz,Zaranj,Nimroz,CDC,10/7/2023,10/9/2023,,Not applicable,,Completed,Completed,Regular
6085,AIFDPM45207PM71,AIFD,Water Resource Management,10/5/2023,Site Visit,Kunar,Nari,Kunar,CDC,10/8/2023,10/10/2023,,Not applicable,,Completed,Completed,Regular
10893,AIFDPM45208PM72,AIFD,Water Resource Management,10/5/2023,Site Visit,Nangarhar,Muhmand Dara,Nangarhar,Sub Project,10/9/2023,10/11/2023,,Completed,,Completed,Completed,Regular
5914,AIFDPM45209PM73,AIFD,Water Resource Management,10/5/2023,Site Visit,Baghlan,Andarab,Baghlan,CDC,10/10/2023,10/12/2023,,Not applicable,,Completed,Completed,Regular
5836,AIFDPM45210PM74,AIFD,Water Resource Management,10/5/2023,Site Visit,Parwan,Jabal Saraj,Parwan,Sub-Project,10/11/2023,10/13/2023,,Completed,,Not applicable,Completed,Regular
10887,AIFDPM45211PM75,AIFD,Water Resource Management,10/5/2023,Site Visit,Logar,Khoshi,Logar,Sub Project,10/12/2023,10/14/2023,,Completed,,Cancelled,Completed,Regular
5751,AIFDPM45212PM76,AIFD,Water Resource Management,10/5/2023,Site Visit,Nimroz,Khashrod,Nimroz,Sub-Project,10/13/2023,10/15/2023,,Completed,,Not applicable,Completed,Regular
227,AIFDPM45213PM77,AIFD,Water Resource Management,10/5/2023,Site Visit,Nimroz,Khashrod,Nimroz,CDC,10/14/2023,10/16/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
6112,AIFDPM45214PM78,AIFD,Water Resource Management,10/5/2023,Site Visit,Hilmand,Nad-e-Ali,Hilmand,CDC,10/15/2023,10/17/2023,,Not applicable,,Completed,Completed,Regular
10930,AIFDPM45215PM79,AIFD,Water Resource Management,10/5/2023,Site Visit,Nangarhar,Muhmand Dara,Nangarhar,Sub Project,10/16/2023,10/18/2023,,Completed,,Completed,Completed,Regular
5971,AIFDPM45216PM80,AIFD,Water Resource Management,11/17/2023,Site Visit,Sar-e-Pul,Sar-e-Pul,Sar-e-Pul,CDC,10/17/2023,10/19/2023,,Not applicable,,Completed,Completed,Regular
10838,AIFDPM45217PM81,AIFD,Water Resource Management,11/17/2023,Site Visit,Kandahar,Shah Wali Kot,Kandahar,Sub Project,10/18/2023,10/20/2023,,Completed,,Completed,Completed,Regular
202,AIFDPM45218PM82,AIFD,Water Resource Management,11/17/2023,Site Visit,Kapisa,Hisa-e-Duwum-e-Kohistan,Kapisa,CDC,10/19/2023,10/21/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
10777,AIFDPM45219PM83,AIFD,Water Resource Management,11/17/2023,Site Visit,Hilmand,Nawa-e-Barakzaiy,Hilmand,Sub Project,10/20/2023,10/22/2023,,Completed,,Completed,Completed,Regular
345,AIFDPM45220PM84,AIFD,Water Resource Management,11/17/2023,Site Visit,Uruzgan,Chora,Uruzgan,CDC,10/21/2023,10/23/2023,,Not applicable,3/27/2023,Completed,Completed,Ad Hoc
167,AIFDPM45221PM85,AIFD,Water Resource Management,11/17/2023,Site Visit,Kandahar,Shah Wali Kot,Kandahar,CDC,10/22/2023,10/24/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
3155,AIFDPM45222PM86,AIFD,Water Resource Management,11/17/2023,Site Visit,Sar-e-Pul,Sar-e-Pul,Sar-e-Pul,Sub-Project,10/23/2023,10/25/2023,,Completed,11/10/2023,Not applicable,Completed,Regular
5822,AIFDPM45223PM87,AIFD,Water Resource Management,11/17/2023,Site Visit,Kabul,Paghman,Kabul,Sub-Project,10/24/2023,10/26/2023,,Completed,,Not applicable,Completed,Regular
3374,AIFDPM45224PM88,AIFD,Water Resource Management,11/17/2023,Site Visit,Sar-e-Pul,Gosfandi,Sar-e-Pul,CDC,10/25/2023,10/27/2023,,Not applicable,10/17/2023,Completed,Completed,Regular
231,AIFDPM45225PM89,AIFD,Water Resource Management,11/17/2023,Site Visit,Nimroz,Zaranj,Nimroz,CDC,10/26/2023,10/28/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
140,AIFDPM45226PM90,AIFD,Water Resource Management,11/17/2023,Site Visit,Hilmand,Nawa-e-Barakzaiy,Hilmand,CDC,10/27/2023,10/29/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
3271,AIFDPM45227PM91,AIFD,Water Resource Management,11/17/2023,Site Visit,Laghman,Alishang,Laghman,CDC,10/28/2023,10/30/2023,,Not applicable,10/15/2023,Completed,Completed,Regular
3172,AIFDPM45228PM92,AIFD,Water Resource Management,11/17/2023,Site Visit,Parwan,Sayed Khel,Parwan,CDC,10/29/2023,10/31/2023,,Not applicable,10/18/2023,Completed,Completed,Regular
6075,AIFDPM45229PM93,AIFD,Water Resource Management,11/17/2023,Site Visit,Hilmand,Nad-e-Ali,Hilmand,CDC,10/30/2023,11/1/2023,,Not applicable,,Completed,Completed,Regular
3331,AIFDPM45230PM94,AIFD,Water Resource Management,11/17/2023,Site Visit,Takhar,Bangi,Takhar,CDC,10/31/2023,11/2/2023,,Not applicable,10/27/2023,Completed,Completed,Regular
10831,AIFDPM45231PM95,AIFD,Water Resource Management,11/17/2023,Site Visit,Kandahar,Panjwayi,Kandahar,Sub Project,11/1/2023,11/3/2023,,Completed,,Completed,Completed,Regular
5774,AIFDPM45232PM96,AIFD,Water Resource Management,11/17/2023,Site Visit,Takhar,Baharak,Takhar,Sub-Project,11/2/2023,11/4/2023,,Completed,,Not applicable,Completed,Regular
3290,AIFDPM45233PM97,AIFD,Water Resource Management,12/3/2023,Site Visit,Nimroz,Khashrod,Nimroz,CDC,11/3/2023,11/5/2023,,Not applicable,10/24/2023,Completed,Completed,Regular
3321,AIFDPM45234PM98,AIFD,Water Resource Management,12/3/2023,Site Visit,Kandahar,Shah Wali Kot,Kandahar,CDC,11/4/2023,11/6/2023,,Not applicable,10/25/2023,Completed,Completed,Regular
11126,AIFDPM45235PM99,AIFD,Water Resource Management,12/3/2023,Site Visit,Ghazni,Nawur,Ghazni,Sub Project,11/5/2023,11/7/2023,,Not applicable,,Completed,Completed,Regular
199,AIFDPM45236PM100,AIFD,Water Resource Management,12/3/2023,Site Visit,Kapisa,Hisa-e-Duwum-e-Kohistan,Kapisa,CDC,11/6/2023,11/8/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
11172,AIFDPM45237PM101,AIFD,Water Resource Management,12/3/2023,Site Visit,Paktya,Gardez,Paktya,Sub Project,11/7/2023,11/9/2023,,Not applicable,,Cancelled,Cancelled,Regular
18,AIFDPM45238PM102,AIFD,Water Resource Management,12/3/2023,Site Visit,Kandahar,Kandahar,Kandahar,Sub-Project,11/8/2023,11/10/2023,3/29/2023,Completed,,Not applicable,Completed,Regular
866,AIFDPM45239PM103,AIFD,Water Resource Management,12/3/2023,Site Visit,Kunduz,Kunduz,Kunduz,Sub-Project,11/9/2023,11/11/2023,4/6/2023,Completed,,Not applicable,Completed,Regular
174,AIFDPM45240PM104,AIFD,Water Resource Management,12/3/2023,Site Visit,Kandahar,Panjwayi,Kandahar,CDC,11/10/2023,11/12/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
157,AIFDPM45241PM105,AIFD,Water Resource Management,12/3/2023,Site Visit,Hirat,Zindajan,Hirat,CDC,11/11/2023,11/13/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
11001,AIFDPM45242PM106,AIFD,Water Resource Management,12/3/2023,Site Visit,Paktya,Gardez,Paktya,Sub Project,11/12/2023,11/14/2023,,Completed,,Completed,Completed,Regular
84,AIFDPM45243PM107,AIFD,Water Resource Management,12/3/2023,Site Visit,Baghlan,Andarab,Baghlan,CDC,11/13/2023,11/15/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
3329,AIFDPM45244PM108,AIFD,Water Resource Management,12/3/2023,Site Visit,Takhar,Namak Ab,Takhar,CDC,11/14/2023,11/16/2023,,Not applicable,10/31/2023,Completed,Completed,Regular
83,AIFDPM45245PM109,AIFD,Water Resource Management,12/3/2023,Site Visit,Baghlan,Andarab,Baghlan,CDC,11/15/2023,11/17/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
65,AIFDPM45246PM110,AIFD,Water Resource Management,12/3/2023,Site Visit,Badakhshan,Keshem,Badakhshan,CDC,11/16/2023,11/18/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
46,AIFDPM45247PM111,AIFD,Water Resource Management,12/3/2023,Site Visit,Badakhshan,Argo,Badakhshan,CDC,11/17/2023,11/19/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
341,AIFDPM45248PM112,AIFD,Water Resource Management,12/3/2023,Site Visit,Uruzgan,Chora,Uruzgan,CDC,11/18/2023,11/20/2023,,Not applicable,3/27/2023,Completed,Completed,Ad Hoc
6089,AIFDPM45249PM113,AIFD,Water Resource Management,12/3/2023,Site Visit,Samangan,Ruy-e-Duab,Samangan,CDC,11/19/2023,11/21/2023,,Not applicable,,Completed,Completed,Regular
3063,AIFDPM45250PM114,AIFD,Water Resource Management,12/3/2023,Site Visit,Baghlan,Doshi,Baghlan,Sub-Project,11/20/2023,11/22/2023,,Completed,11/7/2023,Not applicable,Completed,Regular
3174,AIFDPM45251PM115,AIFD,Water Resource Management,12/3/2023,Site Visit,Parwan,Sayed Khel,Parwan,CDC,11/21/2023,11/23/2023,,Not applicable,10/16/2023,Completed,Completed,Regular
6047,AIFDPM45252PM116,AIFD,Water Resource Management,12/3/2023,Site Visit,Parwan,Jabal Saraj,Parwan,CDC,11/22/2023,11/24/2023,,Not applicable,,Completed,Completed,Regular
358,AIFDPM45253PM117,AIFD,Water Resource Management,12/3/2023,Site Visit,Maidan Wardak,Hesa-e-Awal-e-Behsud,Maidan Wardak,CDC,11/23/2023,11/25/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
47,AIFDPM45254PM118,AIFD,Water Resource Management,12/3/2023,Site Visit,Badakhshan,Argo,Badakhshan,CDC,11/24/2023,11/26/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
3218,AIFDPM45255PM119,AIFD,Water Resource Management,12/3/2023,Site Visit,Badakhshan,Argo,Badakhshan,CDC,11/25/2023,11/27/2023,,Not applicable,10/23/2023,Completed,Completed,Regular
3284,AIFDPM45256PM120,AIFD,Water Resource Management,12/3/2023,Site Visit,Nangarhar,Rodat,Nangarhar,CDC,11/26/2023,11/28/2023,,Not applicable,10/25/2023,Completed,Completed,Regular
3147,AIFDPM45257PM121,AIFD,Water Resource Management,12/3/2023,Site Visit,Bamyan,Sayghan,Bamyan,Sub-Project,11/27/2023,11/29/2023,,Completed,11/5/2023,Not applicable,Completed,Regular
3157,AIFDPM45258PM122,AIFD,Water Resource Management,11/28/2023,Site Visit,Sar-e-Pul,Gosfandi,Sar-e-Pul,Sub-Project,11/28/2023,11/30/2023,,Completed,11/1/2023,Not applicable,Completed,Regular
11079,AIFDPM45259PM123,AIFD,Water Resource Management,11/29/2023,Site Visit,Khost,Spera,Khost,Sub Project,11/29/2023,12/1/2023,,Not applicable,,Completed,Completed,Regular
10764,AIFDPM45260PM124,AIFD,Water Resource Management,11/30/2023,Site Visit,Hilmand,Nahr-e-Saraj,Hilmand,Sub Project,11/30/2023,12/2/2023,,Completed,,Completed,Completed,Regular
160,AIFDPM45261PM125,AIFD,Water Resource Management,12/1/2023,Site Visit,Kabul,Paghman,Kabul,CDC,12/1/2023,12/3/2023,,Not applicable,3/25/2023,Completed,Completed,Ad Hoc
3103,AIFDPM45262PM126,AIFD,Water Resource Management,12/2/2023,Site Visit,Hilmand,Nahr-e-Saraj,Hilmand,Sub-Project,12/2/2023,12/4/2023,,Completed,11/10/2023,Not applicable,Completed,Regular
3193,AIFDPM45263PM127,AIFD,Water Resource Management,12/3/2023,Site Visit,Bamyan,Sayghan,Bamyan,CDC,12/3/2023,12/5/2023,,Not applicable,10/25/2023,Completed,Completed,Regular
5766,AIFDPM45264PM128,AIFD,Water Resource Management,12/4/2023,Site Visit,Sar-e-Pul,Sar-e-Pul,Sar-e-Pul,Sub-Project,12/4/2023,12/6/2023,,Completed,,Not applicable,Completed,Regular
3251,AIFDPM45265PM129,AIFD,Water Resource Management,12/5/2023,Site Visit,Samangan,Ruy-e-Duab,Samangan,CDC,12/5/2023,12/7/2023,,Not applicable,10/21/2023,Completed,Completed,Regular
10752,AIFDPM45266PM130,AIFD,Water Resource Management,12/6/2023,Site Visit,Ghazni,Nawur,Ghazni,Sub Project,12/6/2023,12/8/2023,,Completed,,Cancelled,Completed,Regular
10856,AIFDPM45267PM131,AIFD,Water Resource Management,12/7/2023,Site Visit,Kunar,Chawkay,Kunar,Sub Project,12/7/2023,12/9/2023,,Completed,,Completed,Completed,Regular
219,AIFDPM45268PM132,AIFD,Water Resource Management,12/8/2023,Site Visit,Nimroz,Dil Aram,Nimroz,CDC,12/8/2023,12/10/2023,,Not applicable,3/26/2023,Completed,Completed,Ad Hoc
